Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
A	United States of America 32.0%, United_Arab_Emirates 11.0%, China 9.0%, Germany 7.0%, Canada 4.0%	2019-12-30	1697	2580	One of the two original haplotypes of the pandemic (A and B). Many sequences originating from China and many global exports; including to South East Asia Japan South Korea Australia the USA and Europe represented in this lineage	-
B	United States of America 38.0%, United Kingdom 18.0%, China 7.0%, Mexico 5.0%, Germany 4.0%	2019-12-24	4001	9814	One of the two original haplotypes of the pandemic(and first to be discovered)	-
B.1	United States of America 46.0%, Turkey 12.0%, United Kingdom 7.0%, Canada 4.0%, France 3.0%	2020-01-01	46228	110367	A large European lineage the origin of which roughly corresponds to the Northern Italian outbreak early in 2020.	-
B.1.1	United Kingdom 26.0%, United States of America 15.0%, Japan 7.0%, Russia 5.0%, Turkey 5.0%	2020-01-04	22790	50451	European lineage with 3 clear SNPs `28881GA`,`28882GA`,`28883GC`	-
B.1.1.1	United Kingdom 51.0%, Peru 11.0%, Belgium 3.0%, United States of America 3.0%, Italy 2.0%	2020-03-02	1743	2998	England	-
C.1.2	South_Africa 90.0%, Eswatini 4.0%, United Kingdom 1.0%, Botswana 1.0%, France 0.0%	2021-05-11	15	315	Alias of B.1.1.1.1.2, mostly South Africa, from pango-designation issue #139	-
C.36	Egypt 33.0%, Germany 11.0%, United Kingdom 10.0%, United States of America 7.0%, Denmark 6.0%	2020-03-13	220	1067	Alias of B.1.1.1.36, Egypt mainly and other countries	-
C.36.3	Germany 17.0%, United States of America 17.0%, Italy 11.0%, Switzerland 8.0%, Egypt 7.0%	2020-06-21	488	1847	Alias of B.1.1.1.36.3, Europe and USA lineage, from pango-designation issue #80	-
C.37	Peru 44.0%, Chile 19.0%, Argentina 13.0%, United States of America 12.0%, Ecuador 3.0%	2020-07-21	370	9751	Alias of B.1.1.1.37, lineage in Peru, Chile, USA and Germany, from pango-designation issue #52	-
C.37.1	Spain 28.0%, United States of America 22.0%, Peru 17.0%, Switzerland 6.0%, Germany 5.0%	2021-02-09	106	359	Alias of B.1.1.1.37.1, lineage outside of South America, from pango-designation issue #158	-
